rank,trader,roi,pnl,pnl_clean,vol,vol_clean,net
931,0xC18ee6bF19aEccbC5985f68A4f10F4cB2D2BcB51,-15.464892870666896,-1260.8203629885602,-1260.8203629885602,54155.5100325613,54155.5100325613,6885.638649651674
932,0xfb2BD01C11767F0467c4F926229551b9FF0DD7a9,-15.482237293091055,-769.0771814647543,-769.0771814647543,17696.77493747692,17696.77493747692,4198.403725238276
933,0x78737f56eEAf3d9C610Caad7B25F0A57DAA1779f,-15.495018146584947,-15.141662511387919,-15.141662511387919,298.1957383674746,298.1957383674746,82.57789075499592
934,0x5DA0437e89eEf1fB67b7199875d241024ECe8EFa,-15.51896798046262,-107516.67057669812,-107516.67057669812,6451790.449733999,6451790.449733999,585165.8203658973
935,0x972fCdc880Bda7325d683f1Bae0bc6Ba0b5724A1,-15.64129746816087,-0.15641297468160872,-0.15641297468160872,1.1948615484578853,1.1948615484578853,0.8388034400804742
936,0xdB02db34221f6116A993B4a70cEFe28b9aFF379B,-15.667492027334475,-501.59471340362194,-501.59471340362194,14021.46791670965,14021.46791670965,2699.905006707987
937,0xBD7e803E1F9FAd009922DA97ff92a92E90d1Aa79,-15.77825651603479,-120.66164774646776,-120.66164774646776,14517.328680054108,14517.328680054108,636.4957401694672
938,0xb00Fdb173E21dE18F65f94101035d206e67CC915,-15.845390148337735,-1603.1974053581193,-1603.1974053581193,41099.366655136284,41099.366655136284,8489.687245207026
939,0x54D58A7FC54133849775Ff01749b367D2B7C9d9d,-16.00550808515179,-214.28259651268905,-214.28259651268905,3324.3144709289086,3324.3144709289086,1124.522740829133
940,0x900D3F0A374bdc27Bb066Bc4d177db5764f4AF04,-16.220374765637832,-76.15786762795445,-76.15786762795445,4608.2907947278745,4608.2907947278745,
941,0xcD14610e6Ab9bDF20C674B1D6b47C4E4f4C641d8,-16.296221551456885,-386288.8962488909,-386288.8962488909,12805178.954780294,12805178.954780294,1984131.1120281608
942,0x57619203cF8288f6420C307bBf5Bb51d1b6E9ca8,-16.35804265324906,-427.1237156663969,-427.1237156663969,10646.37831203411,10646.37831203411,
943,0x29015220782D9D9b455597fA44E81094257596AF,-16.38408799202413,-61.672431188285,-61.672431188285,2246.13435173797,2246.13435173797,
944,0x03F78E8b48C471E5270AC302fe1Af7EB0198F01A,-16.45011961606245,-2.6021778464237038,-2.6021778464237038,94.56419910840897,94.56419910840897,
945,0x6cB2DCb3C1E27A0ed5a8C605561F96c3B9e763B7,-16.529644947702824,-299.4879607609793,-299.4879607609793,5096.306647739778,5096.306647739778,1355.941515506434
946,0xEa8f57983D89d284797879945302ea96233Fa443,-16.537351837791167,-29502.140789555524,-29502.140789555524,,,104.73521203502308
947,0x6A3f2BC42b840c19a221cAefDCCb12F0d5d75dB3,-16.840229193996674,-982.1560631368677,-982.1560631368677,23967.506482518893,23967.506482518893,4850.045220008339
948,0x1124b95698F20685Db2F086aA40ab5926D7c1a8d,-17.099804991146765,-16.67253089609528,-16.67253089609528,298.19594412561577,298.19594412561577,80.82876169014942
949,0x3a2cBFd3b7cf757C4b1653bcA04eC96D2F7Dac5e,-17.128028598722274,-16.73544499448321,-16.73544499448321,297.74716058762635,297.74716058762635,80.97250135803309
950,0xCEDEBd491fa205C97a9bde76A6ECba13aDA31243,-17.128256131534734,-16.73544499448321,-16.73544499448321,297.74716058762635,297.74716058762635,80.97120339963836
951,0xA844d0e4802B0e3A20e8801f3117D685D892fc25,-17.14273063002517,-16.73564287613569,-16.73564287613569,297.75068118120345,297.75068118120345,80.88966103445324
952,0x3b273D75dA84937143251BE63FcFe2E06630eB08,-17.14331503300296,-16.73564287613567,-16.73564287613567,297.75068118120345,297.75068118120345,80.88633305977596
953,0x76e8D28260Cb1771f07Bc84592C9844AB503b0Db,-17.143693191414293,-16.735708836686513,-16.735708836686513,297.75185471239575,297.75185471239575,80.88449848869831
954,0x6b163A11A7356A7252a7E7Ea8Fe9D6cF0Ffa317b,-17.176000133491556,-16.735444994483228,-16.735444994483228,297.74716058762635,297.74716058762635,80.69960894366103
955,0xcb5FCBdd27e7962818F951f34836bed2f15922E6,-17.20732058488248,-0.17207320584882485,-0.17207320584882485,1.6652825610164508,1.6652825610164508,0.6968315637673402
956,0x187e3CdD1bdA6ab3DB0607880129382BdDa3B0c6,-17.272380129760144,-67642.99712784331,-67642.99712784331,2309988.4092272953,2309988.4092272953,305404.3573962449
957,0xC652368B05a27dD70d135F636536714E2806bd9a,-17.315933780346597,-2724.892559063256,-2724.892559063256,17884.46943862244,17884.46943862244,13011.43788449608
958,0x746a71D36bA43790eEda46a21e4fA597C7e4b047,-17.46776301652279,-957.9045544336368,-957.9045544336368,42372.21080676836,42372.21080676836,4423.706096716755
959,0xCB6222f4Df04385ea08E8DA2A5871131FF5F6cBA,-17.523387444713077,-268.33938279022436,-268.33938279022436,6295.075262493161,6295.075262493161,1262.982022028592
960,0xf95236ef0F31Def794924abEaF8D77B593977fC9,-17.528419635144925,-180.13206502919715,-180.13206502919715,4233.521525063892,4233.521525063892,847.5251269975603
961,0xE6CE180F57d2b6c5FD28b902f2c7bD2c68719322,-17.63029478291094,-446.6367351136285,-446.6367351136285,12303.671655787435,12303.671655787435,2086.711349040664
962,0x1acD8B1BA4dd965BE0753cec483834D62db35394,-17.732201538220156,-728.244134252474,-728.244134252474,13187.277057332989,13187.277057332989,3378.657835493413
963,0x4C2c3A319891F466d7347cE8F33022ced84ed751,-17.755800588761904,-1789.60385171974,-1789.60385171974,101180.87249184545,101180.87249184545,
964,0xa9f00F123ADD206Ad2EcDB3Ada572dcC88b2435f,-17.820173474638565,-17.37673317139592,-17.37673317139592,298.13149237570883,298.13149237570883,80.13484939611531
965,0x998E4c66516f819e6419E879bceF89de0A7867Fe,-17.938100685203235,-24.81723781776707,-24.81723781776707,366.4936621644334,366.4936621644334,71.49072129436158
966,0x381EeddA4FB74dF7821a1a1a438b5C27150ba2a2,-17.97440408838861,-82.9779157786671,-82.9779157786671,14475.33977579067,14475.33977579067,
967,0xDcc5b9BA5aB98DC38477831Ff359d81f911423eb,-18.18365426511005,-351.64221069435894,-351.64221069435894,19666.410416912004,19666.410416912004,
968,0xF4a72dc4C3C4235178d907d03C35480aF83770F8,-18.626198774152673,-89.15402014087519,-89.15402014087519,4374.875153321669,4374.875153321669,
969,0xB1e64c41038f91057689BA1dF1B26aAd3AC428dC,-18.770585378532935,-18.248565631493587,-18.248565631493587,298.1200789234613,298.1200789234613,78.97038233143805
970,0x1CC08FBe4214051aA2F0CDCE718e13174117f755,-18.82212139782446,-3798.709112761024,-3798.709112761024,168587.33478819949,168587.33478819949,
971,0x8Ac4c0630C5ed1636537924eC9B037fC652ADee8,-18.828589110495894,-107.470443400981,-107.470443400981,33846.30141958085,33846.30141958085,
972,0x319575e5BF4B56DA57Acc28779B73C767c38f54E,-19.010778917950923,-4705.925065918355,-4705.925065918355,66167.29163484997,66167.29163484997,20048.05837804662
973,0x1d25Fc5846cF326465C69c35F50699Bae0Ef366e,-19.02175349464929,-18.49697841854484,-18.49697841854484,298.2084060785558,298.2084060785558,78.74420612181804
974,0x7F53CBBb374015D603AF2F047DC968c1F72c6038,-19.093807557747844,-8828.064345944575,-8828.064345944575,122831.54203132496,122831.54203132496,37407.157828808835
975,0x6F144671643C1527ec7a9114f54f001fE14557Dd,-19.2810170775786,-21.85274180182224,-21.85274180182224,1100.4800656710142,1100.4800656710142,90.2458868334965
976,0x0F7EaF5E23E0BFC3993Ae467B399A43367Bda105,-19.34494398448242,-85.48056178324465,-85.48056178324465,1349.222841057783,1349.222841057783,356.3949063070897
977,0xE7D4Cc665140E041BAD28eBba6552D13df208E9d,-19.346258894918993,-91.11379092507421,-91.11379092507421,1732.4874094448226,1732.4874094448226,379.8495690711258
978,0x1D46D090c2E3597A559F6fcB93E725Be8d3086cF,-19.38413359890688,-4437.177844729727,-4437.177844729727,88032.44221565213,88032.44221565213,
979,0x9a717799733552A3a49667Dee2b6341BC4d8a38d,-19.554835978724835,-1976.3678430266762,-1976.3678430266762,24298.765117920513,24298.765117920513,8130.430522231484
980,0xbbD9FB5A548e09D0B6E8B8197e38c5ac925cc973,-19.69699470580093,-449463.9807757866,-449463.9807757866,79009605.50128639,79009605.50128639,833648.0689473111
981,0xA2d238002Bf1A91fed3C218fA770C4933d833ead,-19.707879060021508,-7.601876432289952,-7.601876432289952,384.92856204004636,384.92856204004636,
982,0xF087aBe47EB6C535574E9Df5d8336C0d592744B1,-19.82884103097663,-56537.44719292597,-56537.44719292597,1023718.4879393273,1023718.4879393273,228589.89385844022
983,0xA3BC95D83945CA74E95Ba7ac2d04F794a1e09dC0,-19.851439503136785,-4.691737546866816,-4.691737546866816,317.5400363995095,317.5400363995095,
984,0x193578944Fb0a0d31508f889528E9c345D90961B,-20.0229969225591,-5947.800957990898,-5947.800957990898,74967.45592427177,74967.45592427177,23757.047826607133
985,0x5DCF2f431d33D53e666303B6C72277e57D761782,-20.13035661194359,-19.75386256256567,-19.75386256256567,298.19601426740684,298.19601426740684,78.37585735926353
986,0x6E1A0533339c918ff6D99df0C7FF90208b97c5d5,-20.333089110458445,-2294.4231102418585,-2294.4231102418585,34583.71460703183,34583.71460703183,8989.760506804841
