rank,trader,roi,pnl,pnl_clean,vol,vol_clean,net
1237,0xBBCD0EF93aC9B3D378032280E9d84FB54AE8f2fC,-57.11087001480555,-5.4355363388935585,-5.4355363388935585,69.50085272943453,69.50085272943453,4.081979919367676
1238,0x8625AfdbF3744D433D850c681Ba881d028253c8A,-57.403992488115364,-322.7361554576311,-322.7361554576311,5921.330477535116,5921.330477535116,
1239,0x2871210eE891e181db4C267B1edd329A205Adea3,-57.719852066565416,-61.6674845092927,-61.6674845092927,656.982850686936,656.982850686936,
1240,0xcee56E201f4105455622BA5E0D5B245f5E03FB63,-57.82283759471042,-2.3704863056126784,-2.3704863056126784,21.956422112501972,21.956422112501972,1.72908127740322
1241,0xca4aD39F872E89Ef23eABd5716363Fc22513E147,-58.461339989340544,-241717.8335098575,-241717.8335098575,1742663.5999230647,1742663.5999230647,71.62254372677813
1242,0x548e923EF6D2420D04Ddd3Ba565f4566c0643A6B,-58.4929700832959,-334.08158772578884,-334.08158772578884,3636.187545187914,3636.187545187914,237.06668402386885
1243,0x483e05E875b3962Dc69E74092C13b97b1F5E7a56,-58.55806519474702,-7470.780081759017,-7470.780081759017,80072.72518662947,80072.72518662947,5287.121083372353
1244,0x07e8E65a3cF736aD94Ee000172c45D4EA906253a,-58.71920176124704,-5081.327694864956,-5081.327694864956,48012.14804338883,48012.14804338883,3513.1171069113866
1245,0xfe2588DE29C00b749aa70f0d7d736e4AC25254C2,-58.814283510951306,-2270.6296622660634,-2270.6296622660634,20150.037102705206,20150.037102705206,1590.047586047722
1246,0xE0AC1bd53F04A173e83Ddeb072E44D0909ceb926,-60.01266071235569,-269.5225339221975,-269.5225339221975,2691.2021352815527,2691.2021352815527,
1247,0x311bE8656F5c669d018b9790Ff601125F75A0FBB,-60.08998945015578,-1068.327739287551,-1068.327739287551,12695.196855861528,12695.196855861528,
1248,0x2711b96c00C8cD4e5a9A3460EA3572904292A12E,-60.226853816327505,-7.615551605256285,-7.615551605256285,98.03583448867252,98.03583448867252,5.029225803308444
1249,0x3Bae7E2F7b1B58471C2A0AF13534Bcd50DCb10dF,-60.4752541148101,-38596.61854239095,-38596.61854239095,325019.36176277243,325019.36176277243,25225.549892183397
1250,0xDe8c9D8754d968cF3EF656eaD5579A259d911094,-60.7096056131241,-292.475207159934,-292.475207159934,4541.390597280736,4541.390597280736,
1251,0xcc04dd001B96015E94FbDD1899A2fd52F4933fC5,-61.206866596539534,-12474.021701437077,-12474.021701437077,97352.6000333342,97352.6000333342,
1252,0x4448DAB7eee7Ac5eA8a4bB2DB67C606E33D4EF6C,-61.32988218923162,-9663.316128742694,-9663.316128742694,38694.417955219855,38694.417955219855,
1253,0x520bac9FD09D10BD4eA44f120f283354D2077fd3,-61.699838913378905,-8577.83760790864,-8577.83760790864,90557.85566595217,90557.85566595217,
1254,0x9A58847B49306192F161019AF981eA6D7e5027cC,-61.87666725204116,-1505.2877543327108,-1505.2877543327108,10459.953568954794,10459.953568954794,927.4349845976974
1255,0x21592320f0D90Ee01392d60aA28bA47a6aFEfEB2,-62.26698579929683,-20227.70687505237,-20227.70687505237,75683.39626089628,75683.39626089628,
1256,0x4A410B789CE86f25143E24b21B0d671AB8b48d0d,-62.53018887314573,-1080.9550431089872,-1080.9550431089872,11239.884445738113,11239.884445738113,647.7380291315399
1257,0xE7e6adE27f82005936AeAaD08010f2669D806860,-62.72085561158155,-3285.121892456062,-3285.121892456062,12195.072151772592,12195.072151772592,1952.564775596114
1258,0xFD3c3306E3DB4020F836144827D16A35939fC953,-63.25625814685233,-6.478151958192079,-6.478151958192079,42.396882504709,42.396882504709,3.762972237223891
1259,0xB951f79AdD58D8F919Bd7409C22815d418d18E1B,-63.38958897949263,-926.2375833058602,-926.2375833058602,6146.754419465544,6146.754419465544,
1260,0x1CB2cB2F2188c232E5ea8efE24e0BF748a24447B,-63.59140737100205,-12905.559299362963,-12905.559299362963,359899.4649512735,359899.4649512735,3685.6810632843963
1261,0x4993b7153819bD221b01050b645618B573d25119,-64.29831302674127,-17289.140519805755,-17289.140519805755,1194710.1215121432,1194710.1215121432,947.8773346118193
1262,0x730E63F2F9eB45822C56B7a43dcB9F4F4315305d,-64.68688334388882,-16492.254814375592,-16492.254814375592,99960.5678421984,99960.5678421984,210.06443966437857
1263,0x06573Db40707710D991b2519CA9B5C1a6c5C1Efa,-64.94216215772455,-20304.357680739853,-20304.357680739853,122385.80342776643,122385.80342776643,
1264,0x8c3A8873348Fa28E9B855080646fEC43C39f4A05,-65.01697682582575,-2603.352428843049,-2603.352428843049,9256.23079594458,9256.23079594458,
1265,0xd00DeC1A0d7558fB8fE8F3C5D733F6D563F0C0e8,-65.05807362238359,-198800.12726490374,-198800.12726490374,1358808.9533759463,1358808.9533759463,100152.95100575977
1266,0x05a6AF63F9C6E538d30F1417A3976eB90F1B31e5,-65.31961865048443,-1216.3157836404857,-1216.3157836404857,7684.294142749901,7684.294142749901,645.782937646928
1267,0x9cfA2455Ab78FABE23651f10551705dE03a60533,-65.37127964966625,-4103.885491704823,-4103.885491704823,19128.484598529965,19128.484598529965,2173.925672002105
1268,0x707667685bf71961ae7289526a9A5dfF55154892,-65.61083236390908,-725.4459944136108,-725.4459944136108,6236.034252149083,6236.034252149083,380.23422373990996
1269,0xef8424e759017ab179eD3e6ec28959EfCB959Dd3,-65.9107932742894,-5758.973398825953,-5758.973398825953,90903.28869030286,90903.28869030286,
1270,0x2239Ac202240074B006a0Cd2C201284a284dfe21,-65.94678653853371,-403868.68198427453,-403868.68198427453,1723082.474482118,1723082.474482118,25794.471826447425
1271,0x9A6c99729b04Dcb806Ff75fda301eB70C41007F6,-66.4348114900934,-8758.462033186464,-8758.462033186464,74391.12394788724,74391.12394788724,
1272,0x3c5249cCD52edeB7aFd28DC5Ad88BD5a16D03002,-66.43882350873886,-3624.0837316947714,-3624.0837316947714,10579.629676659173,10579.629676659173,1830.6843395942794
1273,0x563cC56Ee908816A990467034615C9d47A0Cf4c5,-66.77057665545072,-3113.1965075005633,-3113.1965075005633,22214.724463108534,22214.724463108534,1549.3310060257431
1274,0xeFc24206053a452e2299BF3b8f964512b041Db4C,-67.03953025507035,-257895.14775267805,-257895.14775267805,2065382.2988707102,2065382.2988707102,
1275,0xf0A060428e456D601A7A55628337EcD740080EB8,-67.4935108286868,-11510.405751400207,-11510.405751400207,95827.04619128087,95827.04619128087,5543.686723676574
1276,0x544Ea3D7C3b93639d42D1482b3eaeb51E2335862,-67.67996916186513,-154393.8058778928,-154393.8058778928,1690855.3047459724,1690855.3047459724,
1277,0x96AA7E4BA857087cf3b529012eDfe5a96F0412D6,-67.87750763074084,-448.849787914477,-448.849787914477,4491.985632627032,4491.985632627032,212.41460375449293
1278,0xE317920e6F64728374e44BD26F4b915E940b040D,-68.17566041183947,-167.9394734054362,-167.9394734054362,833.7666616960706,833.7666616960706,78.39400160740226
